FORM_ABOUT_CAPTION,Custompilot Software 정보
MENU_CLEAR,지우기
MENU_CONNECT,연결
MENU_DISCONNECT,끊기
MENU_EXIT,종료(&X)
MENU_EXPORT,내보내기
MENU_FACTORYRESET,공장초기화
MENU_FILE,파일(&F)
MENU_FIRMWAREVER,펌웨어 버젼:
MENU_HELP,도움말(&H)
MENU_HELP_ABOUT,Custompilot 정보(&A)
MENU_HELP_DRIVER,USB 드라이버 설치
MENU_HELP_SUPPORT,온라인 기술지원(&O)
MENU_HELP_TEST,테스트(&T)
MENU_SUPPORT_FIRMWARE1,펌웨어(SBUS IBUS CPPM)
MENU_SUPPORT_FIRMWARE2,펌웨어(DSM DSMX SUMD)
MENU_SUPPORT_PCMANAGER,PC 메니져
MENU_IMU,자세센서
MENU_IMU_CAL,수평 맞추기
MENU_OPEN,열기(&O)
MENU_REPORT,리포트(&R)
MENU_SAVE,저장(&S)
MENU_SETTING,설정(&S)
MENU_FIRMWARE,펌웨어(&F)
MENU_SUPPORT,지원
MENU_PRODUCTS,제품(&P)
MENU_USERLANGUAGE,사용자 언어(&L)
MENU_MANUAL,메뉴얼
MESSAGE_ALERT,경고
MESSAGE_CANCEL,취소
MESSAGE_COM_SELECT,COM 포트를 선택하세요.
MESSAGE_ERROR,에러
MESSAGE_NO,아니오
MESSAGE_OVERWRITE_CPM,이 작업은 연결된 장치의 데이터를 덮어쓰기 합니다.
,계속 하시겠습니까?
MESSAGE_WARNING_REPORT_RESET,경고!{0}모든 데이터가 삭제 됩니다.{0}데이터는 복구 불가능 합니다.{0}정말 삭제 하시겠습니까?
MESSAGE_YES,네
PAGE_FIRM_CONSOLE,명령줄
PAGE_FIRM_DISCONNECTED,연결 끊김
PAGE_FIRM_DOWNLOAD,다운로드
PAGE_FIRM_FILE,파일:
PAGE_FIRM_FIRMWARE,펌웨어:
PAGE_FIRM_FIRMWAREBACKUP,보드에서 펌웨어 받기
PAGE_FIRM_FIRMWAREUPLOAD,펌웨어 업로드
PAGE_FIRM_INFORMATION,보드 정보
PAGE_FIRM_NAME,이름:
PAGE_FIRM_OPEN,열기
PAGE_FIRM_PRODUCTID,고유번호:
PAGE_FIRM_SAVE,저장
PAGE_FIRM_SET,설정
PAGE_FIRM_STATE,상태:
PAGE_FIRM_UPLOAD,업로드
PAGE_FIRM_VER,버젼:
PAGE_MODE_A,모드1:
PAGE_MODE_B,모드2:
PAGE_MODE_C,모드3:
PAGE_MODE_DEFAULT,초기화
PAGE_MODE_HOVERING,호버링
PAGE_MODE_KNIFEEDGE,측면비행
PAGE_MODE_MANUAL,수동
PAGE_MODE_MIX,모드:
PAGE_MODE_MODECHANNELS,모드용 채널
PAGE_MODE_REVERSE,배면비행
PAGE_MODE_SETTING,비행모드 설정
PAGE_MODE_STABILIZE,수평비행
PAGE_MODE_STABILIZE2,수평비행2
PAGE_MODE_TAKEOFF,이륙
PAGE_MOUNT_BACK,뒤
PAGE_MOUNT_BOTTOM,하
PAGE_MOUNT_FRONT,앞
PAGE_MOUNT_FRONTBACK,앞 / 뒤
PAGE_MOUNT_NAME,보드설치
PAGE_MOUNT_TOP,상
PAGE_MOUNT_TOPBOTTOM,상 / 하
PAGE_OTUPTU_REVERSE,반전
PAGE_OTUPUT_OUTPUT,출력
PAGE_OUTPUT_CENTER,중앙
PAGE_OUTPUT_CHANNEL,채널
PAGE_OUTPUT_DEFAULT,초기화
PAGE_OUTPUT_MAX,최대
PAGE_OUTPUT_MIN,최소
PAGE_OUTPUT_PULSE,신호
PAGE_OUTPUT_SAVE,저장
PAGE_RADIO_CALIBRATION,입력범위 맞추기
PAGE_RADIO_CENTER,중앙:
PAGE_RADIO_DEFAULT,초기화
PAGE_RADIO_INPUTCHANNELS,입력체널
PAGE_RADIO_MAX,최대:
PAGE_RADIO_MIN,최소:
PAGE_RADIO_PROTOCOL,통신규약
PAGE_RADIO_RADIOHZ,수신기 신호 주기
PAGE_RADIO_SAVE,저장
PAGE_REPORTS_COUNT,개수
PAGE_REPORTS_EXPORT,내보내기(&E)
PAGE_REPORTS_FID,FID
PAGE_REPORTS_REPORTS,리포트
PAGE_REPORTS_RESET,지우기(&R)
PAGE_REPORTS_WDT,WDT
TAB_BOARD,보드
TAB_FIRMWARE,펌웨어
TAB_MODE,비행모드
TAB_OUTPUT,출력
TAB_RADIO,라디오
TAB_REPORT,리포트
TAB_SENSOR,센서
